source_file,account,subcategory,date,description,money_in,money_out,amount,balance
Bank Statement 2 - 01.09.25 to 30.11.25 pdf.pdf,,Other,01 Dec 2025,Today:,01,,1.00,2025
Bank Statement 2 - 01.09.25 to 30.11.25 pdf.pdf,,Other,,1 transaction between,1,,1.00,1
Bank Statement 2 - 01.09.25 to 30.11.25 pdf.pdf,,Other,08/09/2025,08/,09,,9.00,2025
Bank Statement 2 - 01.09.25 to 30.11.25 pdf.pdf,,Other,08/09/2025,08/,09,,9.00,2025
Bank Statement 2 - 01.09.25 to 30.11.25 pdf.pdf,,Other,01/09/2025,01/,09,,9.00,2025
Bank Statement 2 - 01.09.25 to 30.11.25 pdf.pdf,,Other,08/09/2025,"INTEREST PAID GROSS £251.98 £76,167.55 FOR PERIOD 2JUN/ 7SEP Need to view older transactions? If you have registered for online statements, then follow the link to view them If you can't find the relevant statement/transactions online, you can order a copy statement enforced by The Lending Standards Board. Further details can be found at www. lendingstandardsboard.org.uk. 312078). Exchange & NEX. Authority (Financial Services Register number:",122702),,,14
