sr_no,category,document_date,supplier,inv_ref_no,make,model,colour,reg_no,buying_price,non_vat,std_net,vat_amount
44,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p44,,,,,,,N/A,
45,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p45,,,,,,,N/A,
46,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p46,,,,,,,N/A,
47,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p47,,,,,,,N/A,
48,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p48,,,,,,,N/A,
49,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p49,,,,,,,N/A,
50,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p50,,,,,,,N/A,
51,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p51,,,,,,,N/A,
52,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p52,,,,,,,N/A,
53,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p53,,,,,,,N/A,
54,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p54,,,,,,,N/A,
55,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p55,,,,,,,N/A,
56,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p56,,,,,,,N/A,
57,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p57,,,,,,,N/A,
58,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p58,,,,,,,N/A,
59,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p59,,,,,,,N/A,
60,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p60,,,,,,,N/A,
61,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p61,,,,,,,N/A,
62,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p62,,,,,,,N/A,
63,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p63,,,,,,,N/A,
64,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p64,,,,,,,N/A,
65,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p65,,,,,,,N/A,
66,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p66,,,,,,,N/A,
67,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p67,,,,,,,N/A,
68,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p68,,,,,,,N/A,
69,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p69,,,,,,,N/A,
70,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p70,,,,,,,N/A,
71,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p71,,,,,,,N/A,
72,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p72,,,,,,,N/A,
73,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p73,,,,,,,N/A,
74,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p74,,,,,,,N/A,
75,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p75,,,,,,,N/A,
76,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p76,,,,,,,N/A,
77,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p77,,,,,,,N/A,
78,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p78,,,,,,,N/A,
79,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p79,,,,,,,N/A,
80,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p80,,,,,,,N/A,
81,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p81,,,,,,,N/A,
82,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p82,,,,,,,N/A,
83,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p83,,,,,,,N/A,
84,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p84,,,,,,,N/A,
85,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p85,,,,,,,N/A,
86,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p86,,,,,,,N/A,
87,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p87,,,,,,,N/A,
88,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p88,,,,,,,N/A,
89,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p89,,,,,,,N/A,
90,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p90,,,,,,,N/A,
91,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p91,,,,,,,N/A,
92,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p92,,,,,,,N/A,
93,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p93,,,,,,,N/A,
94,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p94,,,,,,,N/A,
95,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p95,,,,,,,N/A,
96,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p96,,,,,,,N/A,
97,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p97,,,,,,,N/A,
98,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p98,,,,,,,N/A,
99,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p99,,,,,,,N/A,
100,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p100,,,,,,,N/A,
101,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p101,,,,,,,N/A,
102,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p102,,,,,,,N/A,
103,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p103,,,,,,,N/A,
104,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p104,,,,,,,N/A,
