sr_no,category,document_date,supplier,inv_ref_no,make,model,colour,reg_no,buying_price,non_vat,std_net,vat_amount
1,purchase,,,204-3759598-2929148,,,,,727255822.00,727255822.00,1.00,727255821.00
2,purchase,11/02/2025,"Sold by Amazon EU S.à r.l., UK Branch | VAT # GB727255821",Invoice,"Amazon EU S.à r.l., UK Branch",,,GB727255821,20.38,20.38,4.50,
3,purchase,,,Invoice,,,,,16.98,16.98,N/A,
4,purchase,,Sold by qingdaoqiuguogongmaoyouxiangongsi,Invoice,qingdaoqiuguogongmaoyouxiangongsi,,,GB727255821,28.49,28.49,24.99,23.74
5,purchase,18/02/2025,Sold by 4 GROUP SOUTH WEST LIMITED | VAT # GB256402712,Invoice,4 GROUP SOUTH WEST LIMITED,,,GB256402712,13.11,13.11,10.92,10.92
6,purchase,,Sold by SHEN ZHEN WEI ER CHUANG XIN YOU XIAN | GONG SI,Invoice,SHEN ZHEN WEI ER CHUANG XIN YOU XIAN,,,GB727255821,28.14,28.14,25.49,23.45
7,purchase,20/02/2025,"Sold by Amazon EU S.à r.l., UK Branch | VAT # GB727255821",Invoice,"Amazon EU S.à r.l., UK Branch",,,GB727255821,18.00,18.00,15.00,15.00
8,purchase,06/02/2025,Sold by GLAZING SUPPLIES DIRECT LTD | VAT # GB472324305,Invoice,GLAZING SUPPLIES DIRECT LTD,,,GB472324305,7.99,7.99,6.66,6.66
